Name,Landmass,Zone,Area,Population,Language,Religion,Bars,Stripes,Colours,Red,Green,Blue,Gold,White,Black,Orange,Mainhue,Circles,Crosses,Saltires,Quarters,Sunstars,Crescente,Triangle,Icon,Animate,Text,Topleft,Topright
Kiribati,Oceania,Norte-Leste,0,0,English,Other Christian,0,0,4,1,0,1,1,1,0,0,red,0,0,0,0,1,0,0,1,1,0,red,blue
Kuwait,Asia,Norte-Leste,18,2,Arabic,Muslim,0,3,4,1,1,0,0,1,1,0,green,0,0,0,0,0,0,0,0,0,0,green,red
Laos,Asia,Norte-Leste,236,3,Others,Marxist,0,3,3,1,0,1,0,1,0,0,red,1,0,0,0,0,0,0,0,0,0,red,red
Lebanon,Asia,Norte-Leste,10,3,Arabic,Muslim,0,2,4,1,1,0,0,1,0,1,red,0,0,0,0,0,0,0,0,1,0,red,red
Lesotho,Africa,Sul-Leste,30,1,Others,Ethnic,2,0,4,1,1,1,0,1,0,0,blue,0,0,0,0,0,0,0,1,0,0,green,blue
Liberia,Africa,Norte-Oeste,111,1,Others,Ethnic,0,11,3,1,0,1,0,1,0,0,red,0,0,0,1,1,0,0,0,0,0,blue,red
Libya,Africa,Norte-Leste,1760,3,Arabic,Muslim,0,0,1,0,1,0,0,0,0,0,green,0,0,0,0,0,0,0,0,0,0,green,green
Liechtenstein,Europa,Norte-Leste,0,0,German,Catholic,0,2,3,1,0,1,1,0,0,0,red,0,0,0,0,0,0,0,1,0,0,blue,red
Luxembourg,Europa,Norte-Leste,3,0,German,Catholic,0,3,3,1,0,1,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,blue
Malagasy,Africa,Sul-Leste,587,9,Others,Other Christian,1,2,3,1,1,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,white,green
Malawi,Africa,Sul-Leste,118,6,Others,Ethnic,0,3,3,1,1,0,0,0,1,0,red,0,0,0,0,1,0,0,0,0,0,black,green
Malaysia,Asia,Norte-Leste,333,13,Others,Muslim,0,14,4,1,0,1,1,1,0,0,red,0,0,0,1,1,1,0,0,0,0,blue,white
Maldive-Islands,Asia,Norte-Leste,0,0,Others,Muslim,0,0,3,1,1,0,0,1,0,0,red,0,0,0,0,0,1,0,0,0,0,red,red
Mali,Africa,Norte-Oeste,1240,7,French,Muslim,3,0,3,1,1,0,1,0,0,0,gold,0,0,0,0,0,0,0,0,0,0,green,red
Malta,Europa,Norte-Leste,0,0,Others,Catholic,2,0,3,1,0,0,0,1,1,0,red,0,1,0,0,0,0,0,1,0,0,white,red
Marianas,Oceania,Norte-Leste,0,0,Others,Other Christian,0,0,3,0,0,1,0,1,0,0,blue,0,0,0,0,1,0,0,1,0,0,blue,blue
Mauritania,Africa,Norte-Oeste,1031,2,Arabic,Muslim,0,0,2,0,1,0,1,0,0,0,green,0,0,0,0,1,1,0,0,0,0,green,green
Mauritius,Africa,Sul-Leste,2,1,English,Hindu,0,4,4,1,1,1,1,0,0,0,red,0,0,0,0,0,0,0,0,0,0,red,green
Mexico,North America,Norte-Oeste,1973,77,Spanish,Catholic,3,0,4,1,1,0,0,1,0,1,green,0,0,0,0,0,0,0,0,1,0,green,red
Micronesia,Oceania,Norte-Leste,1,0,Others,Other Christian,0,0,2,0,0,1,0,1,0,0,blue,0,0,0,0,4,0,0,0,0,0,blue,blue
Monaco,Europa,Norte-Leste,0,0,French,Catholic,0,2,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,white
Mongolia,Asia,Norte-Leste,1566,2,Others,Marxist,3,0,3,1,0,1,1,0,0,0,red,2,0,0,0,1,1,1,1,0,0,red,red
Montserrat,North America,Norte-Oeste,0,0,English,Other Christian,0,0,7,1,1,1,1,1,1,0,blue,0,2,1,1,0,0,0,1,1,0,white,blue
Morocco,Africa,Norte-Oeste,447,20,Arabic,Muslim,0,0,2,1,1,0,0,0,0,0,red,0,0,0,0,1,0,0,0,0,0,red,red
Mozambique,Africa,Sul-Leste,783,12,Others,Ethnic,0,5,5,1,1,0,1,1,1,0,gold,0,0,0,0,1,0,1,1,0,0,green,gold
Nauru,Oceania,Sul-Leste,0,0,Others,Other Christian,0,3,3,0,0,1,1,1,0,0,blue,0,0,0,0,1,0,0,0,0,0,blue,blue
Nepal,Asia,Norte-Leste,140,16,Others,Hindu,0,0,3,0,0,1,0,1,0,1,brown,0,0,0,0,2,1,0,0,0,0,blue,blue
Netherlands,Europa,Norte-Leste,41,14,Outro Indo-Europeu,Other Christian,0,3,3,1,0,1,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,blue
Netherlands-Antilles,North America,Norte-Oeste,0,0,Outro Indo-Europeu,Other Christian,0,1,3,1,0,1,0,1,0,0,white,0,0,0,0,6,0,0,0,0,0,white,white
New-Zealand,Oceania,Sul-Leste,268,2,English,Other Christian,0,0,3,1,0,1,0,1,0,0,blue,0,1,1,1,4,0,0,0,0,0,white,blue
Nicaragua,North America,Norte-Oeste,128,3,Spanish,Catholic,0,3,2,0,0,1,0,1,0,0,blue,0,0,0,0,0,0,0,0,0,0,blue,blue
Niger,Africa,Norte-Leste,1267,5,French,Muslim,0,3,3,0,1,0,0,1,0,1,orange,1,0,0,0,0,0,0,0,0,0,orange,green
Nigeria,Africa,Norte-Leste,925,56,Others,Muslim,3,0,2,0,1,0,0,1,0,0,green,0,0,0,0,0,0,0,0,0,0,green,green
Niue,Oceania,Sul-Oeste,0,0,English,Other Christian,0,0,4,1,0,1,1,1,0,0,gold,1,1,1,1,5,0,0,0,0,0,white,gold
North-Korea,Asia,Norte-Leste,121,18,Others,Marxist,0,5,3,1,0,1,0,1,0,0,blue,1,0,0,0,1,0,0,0,0,0,blue,blue
North-Yemen,Asia,Norte-Leste,195,9,Arabic,Muslim,0,3,4,1,1,0,0,1,1,0,red,0,0,0,0,1,0,0,0,0,0,red,black
Norway,Europa,Norte-Leste,324,4,Outro Indo-Europeu,Other Christian,0,0,3,1,0,1,0,1,0,0,red,0,1,0,0,0,0,0,0,0,0,red,red
Oman,Asia,Norte-Leste,212,1,Arabic,Muslim,0,2,3,1,1,0,0,1,0,0,red,0,0,0,0,0,0,0,1,0,0,red,green
Pakistan,Asia,Norte-Leste,804,84,Outro Indo-Europeu,Muslim,1,0,2,0,1,0,0,1,0,0,green,0,0,0,0,1,1,0,0,0,0,white,green
Panama,South America,Norte-Oeste,76,2,Spanish,Catholic,0,0,3,1,0,1,0,1,0,0,red,0,0,0,4,2,0,0,0,0,0,white,white
Papua-New-Guinea,Oceania,Sul-Leste,463,3,English,Ethnic,0,0,4,1,0,0,1,1,1,0,black,0,0,0,0,5,0,1,0,1,0,red,black
Parguay,South America,Sul-Oeste,407,3,Spanish,Catholic,0,3,6,1,1,1,1,1,1,0,red,1,0,0,0,1,0,0,1,1,1,red,blue
Peru,South America,Sul-Oeste,1285,14,Spanish,Catholic,3,0,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,red
Philippines,Oceania,Norte-Leste,300,48,Others,Catholic,0,0,4,1,0,1,1,1,0,0,blue,0,0,0,0,4,0,1,0,0,0,blue,red
Poland,Europa,Norte-Leste,313,36,Slavic,Marxist,0,2,2,1,0,0,0,1,0,0,white,0,0,0,0,0,0,0,0,0,0,white,red
Portugal,Europa,Norte-Oeste,92,10,Outro Indo-Europeu,Catholic,0,0,5,1,1,1,1,1,0,0,red,1,0,0,0,0,0,0,1,0,0,green,red
Puerto-Rico,North America,Norte-Oeste,9,3,Spanish,Catholic,0,5,3,1,0,1,0,1,0,0,red,0,0,0,0,1,0,1,0,0,0,red,red
Qatar,Asia,Norte-Leste,11,0,Arabic,Muslim,0,0,2,0,0,0,0,1,0,1,brown,0,0,0,0,0,0,0,0,0,0,white,brown
Romania,Europa,Norte-Leste,237,22,Outro Indo-Europeu,Marxist,3,0,7,1,1,1,1,1,0,1,red,0,0,0,0,2,0,0,1,1,1,blue,red
Rwanda,Africa,Sul-Leste,26,5,Others,Ethnic,3,0,4,1,1,0,1,0,1,0,red,0,0,0,0,0,0,0,0,0,1,red,green
San-Marino,Europa,Norte-Leste,0,0,Outro Indo-Europeu,Catholic,0,2,2,0,0,1,0,1,0,0,white,0,0,0,0,0,0,0,0,0,0,white,blue
Sao-Tome,Africa,Norte-Leste,0,0,Outro Indo-Europeu,Catholic,0,3,4,1,1,0,1,0,1,0,green,0,0,0,0,2,0,1,0,0,0,green,green
Saudi-Arabia,Asia,Norte-Leste,2150,9,Arabic,Muslim,0,0,2,0,1,0,0,1,0,0,green,0,0,0,0,0,0,0,1,0,1,green,green
Senegal,Africa,Norte-Oeste,196,6,French,Muslim,3,0,3,1,1,0,1,0,0,0,green,0,0,0,0,1,0,0,0,0,0,green,red
Seychelles,Africa,Sul-Leste,0,0,English,Other Christian,0,0,3,1,1,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,green
Sierra-Leone,Africa,Norte-Oeste,72,3,English,Ethnic,0,3,3,0,1,1,0,1,0,0,green,0,0,0,0,0,0,0,0,0,0,green,blue
Singapore,Asia,Norte-Leste,1,3,Chinese,Buddhist,0,2,2,1,0,0,0,1,0,0,white,0,0,0,0,5,1,0,0,0,0,red,white
Soloman-Islands,Oceania,Sul-Leste,30,0,English,Other Christian,0,0,4,0,1,1,1,1,0,0,green,0,0,0,0,5,0,1,0,0,0,blue,green
Somalia,Africa,Norte-Leste,637,5,Others,Muslim,0,0,2,0,0,1,0,1,0,0,blue,0,0,0,0,1,0,0,0,0,0,blue,blue
South-Africa,Africa,Sul-Leste,1221,29,Outro Indo-Europeu,Other Christian,0,3,5,1,1,1,0,1,0,1,orange,0,1,1,0,0,0,0,0,0,0,orange,blue
South-Korea,Asia,Norte-Leste,99,39,Others,Others,0,0,4,1,0,1,0,1,1,0,white,1,0,0,0,0,0,0,1,0,0,white,white
South-Yemen,Asia,Norte-Leste,288,2,Arabic,Muslim,0,3,4,1,0,1,0,1,1,0,red,0,0,0,0,1,0,1,0,0,0,red,black
Spain,Europa,Norte-Oeste,505,38,Spanish,Catholic,0,3,2,1,0,0,1,0,0,0,red,0,0,0,0,0,0,0,0,0,0,red,red
Sri-Lanka,Asia,Norte-Leste,66,15,Others,Buddhist,2,0,4,0,1,0,1,0,0,1,gold,0,0,0,0,0,0,0,1,1,0,gold,gold
St-Helena,Africa,Sul-Oeste,0,0,English,Other Christian,0,0,7,1,1,1,1,1,0,1,blue,0,1,1,1,0,0,0,1,0,0,white,blue
St-Kitts-Nevis,North America,Norte-Oeste,0,0,English,Other Christian,0,0,5,1,1,0,1,1,1,0,green,0,0,0,0,2,0,1,0,0,0,green,red
St-Lucia,North America,Norte-Oeste,0,0,English,Other Christian,0,0,4,0,0,1,1,1,1,0,blue,0,0,0,0,0,0,1,0,0,0,blue,blue
St-Vincent,North America,Norte-Oeste,0,0,English,Other Christian,5,0,4,0,1,1,1,1,0,0,green,0,0,0,0,0,0,0,1,1,1,blue,green
Sudan,Africa,Norte-Leste,2506,20,Arabic,Muslim,0,3,4,1,1,0,0,1,1,0,red,0,0,0,0,0,0,1,0,0,0,red,black
Surinam,South America,Norte-Oeste,63,0,Outro Indo-Europeu,Other Christian,0,5,4,1,1,0,1,1,0,0,red,0,0,0,0,1,0,0,0,0,0,green,green
Swaziland,Africa,Sul-Leste,17,1,Others,Other Christian,0,5,7,1,0,1,1,1,1,1,blue,0,0,0,0,0,0,0,1,0,0,blue,blue
Sweden,Europa,Norte-Leste,450,8,Outro Indo-Europeu,Other Christian,0,0,2,0,0,1,1,0,0,0,blue,0,1,0,0,0,0,0,0,0,0,blue,blue
Switzerland,Europa,Norte-Leste,41,6,German,Other Christian,0,0,2,1,0,0,0,1,0,0,red,0,1,0,0,0,0,0,0,0,0,red,red
Syria,Asia,Norte-Leste,185,10,Arabic,Muslim,0,3,4,1,1,0,0,1,1,0,red,0,0,0,0,2,0,0,0,0,0,red,black
Taiwan,Asia,Norte-Leste,36,18,Chinese,Buddhist,0,0,3,1,0,1,0,1,0,0,red,1,0,0,1,1,0,0,0,0,0,blue,red
Tanzania,Africa,Sul-Leste,945,18,Others,Ethnic,0,0,4,0,1,1,1,0,1,0,green,0,0,0,0,0,0,1,0,0,0,green,blue
Thailand,Asia,Norte-Leste,514,49,Others,Buddhist,0,5,3,1,0,1,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,red
Togo,Africa,Norte-Leste,57,2,French,Others,0,5,4,1,1,0,1,1,0,0,green,0,0,0,1,1,0,0,0,0,0,red,green
Tonga,Oceania,Sul-Leste,1,0,Others,Other Christian,0,0,2,1,0,0,0,1,0,0,red,0,1,0,1,0,0,0,0,0,0,white,red
Trinidad-Tobago,South America,Norte-Oeste,5,1,English,Other Christian,0,0,3,1,0,0,0,1,1,0,red,0,0,0,0,0,0,1,0,0,0,white,white
Tunisia,Africa,Norte-Leste,164,7,Arabic,Muslim,0,0,2,1,0,0,0,1,0,0,red,1,0,0,0,1,1,0,0,0,0,red,red
Turkey,Asia,Norte-Leste,781,45,Japanese/Turkish/Finnish/Magyar,Muslim,0,0,2,1,0,0,0,1,0,0,red,0,0,0,0,1,1,0,0,0,0,red,red
Turks-Cocos-Islands,North America,Norte-Oeste,0,0,English,Other Christian,0,0,6,1,1,1,1,1,0,1,blue,0,1,1,1,0,0,0,1,1,0,white,blue
Tuvalu,Oceania,Sul-Leste,0,0,English,Other Christian,0,0,5,1,0,1,1,1,0,0,blue,0,1,1,1,9,0,0,0,0,0,white,blue
UAE,Asia,Norte-Leste,84,1,Arabic,Muslim,1,3,4,1,1,0,0,1,1,0,green,0,0,0,0,0,0,0,0,0,0,red,black
Uganda,Africa,Norte-Leste,236,13,Others,Ethnic,0,6,5,1,0,0,1,1,1,0,gold,1,0,0,0,0,0,0,0,1,0,black,red
UK,Europa,Norte-Oeste,245,56,English,Other Christian,0,0,3,1,0,1,0,1,0,0,red,0,1,1,0,0,0,0,0,0,0,white,red
Uruguay,South America,Sul-Oeste,178,3,Spanish,Catholic,0,9,3,0,0,1,1,1,0,0,white,0,0,0,1,1,0,0,0,0,0,white,white
US-Virgin-Isles,North America,Norte-Oeste,0,0,English,Other Christian,0,0,6,1,1,1,1,1,0,0,white,0,0,0,0,0,0,0,1,1,1,white,white
USA,North America,Norte-Oeste,9363,231,English,Other Christian,0,13,3,1,0,1,0,1,0,0,white,0,0,0,1,50,0,0,0,0,0,blue,red
USSR,Asia,Norte-Leste,22402,274,Slavic,Marxist,0,0,2,1,0,0,1,0,0,0,red,0,0,0,0,1,0,0,1,0,0,red,red
Vanuatu,Oceania,Sul-Leste,15,0,Outro Indo-Europeu,Other Christian,0,0,4,1,1,0,1,0,1,0,red,0,0,0,0,0,0,1,0,1,0,black,green
Vatican-City,Europa,Norte-Leste,0,0,Outro Indo-Europeu,Catholic,2,0,4,1,0,0,1,1,1,0,gold,0,0,0,0,0,0,0,1,0,0,gold,white
Venezuela,South America,Norte-Oeste,912,15,Spanish,Catholic,0,3,7,1,1,1,1,1,1,1,red,0,0,0,0,7,0,0,1,1,0,gold,red
Vietnam,Asia,Norte-Leste,333,60,Others,Marxist,0,0,2,1,0,0,1,0,0,0,red,0,0,0,0,1,0,0,0,0,0,red,red
Western-Samoa,Oceania,Sul-Oeste,3,0,English,Other Christian,0,0,3,1,0,1,0,1,0,0,red,0,0,0,1,5,0,0,0,0,0,blue,red
Yugoslavia,Europa,Norte-Leste,256,22,Outro Indo-Europeu,Marxist,0,3,4,1,0,1,1,1,0,0,red,0,0,0,0,1,0,0,0,0,0,blue,red
Zaire,Africa,Sul-Leste,905,28,Others,Ethnic,0,0,4,1,1,0,1,0,0,1,green,1,0,0,0,0,0,0,1,1,0,green,green
Zambia,Africa,Sul-Leste,753,6,Others,Ethnic,3,0,4,1,1,0,0,0,1,1,green,0,0,0,0,0,0,0,0,1,0,green,brown
Zimbabwe,Africa,Sul-Leste,391,8,Others,Ethnic,0,7,5,1,1,0,1,1,1,0,green,0,0,0,0,1,0,1,1,1,0,green,green